jogo,data,fase,grupo,mandante,palpite,visitante,P_mandante,P_empate,P_visitante,ousado,mais_provavel,prorrogacao,penaltis,avanca,status,placar_real
1,2026-06-11,group,A,México,2x0,África do Sul,,,,,,,,,FINAL,2x0
2,2026-06-11,group,A,Coreia do Sul,2x1,República Tcheca,,,,,,,,,FINAL,2x1
3,2026-06-12,group,B,Canadá,1x1,Bósnia e Herzegovina,,,,,,,,,FINAL,1x1
4,2026-06-12,group,D,Estados Unidos,4x1,Paraguai,,,,,,,,,FINAL,4x1
5,2026-06-13,group,D,Austrália,2x0,Turquia,,,,,,,,,FINAL,2x0
6,2026-06-13,group,C,Brasil,1x1,Marrocos,,,,,,,,,FINAL,1x1
7,2026-06-13,group,C,Haiti,0x1,Escócia,,,,,,,,,FINAL,0x1
8,2026-06-13,group,B,Catar,1x1,Suíça,,,,,,,,,FINAL,1x1
9,2026-06-14,group,E,Alemanha,7x1,Curaçao,,,,,,,,,FINAL,7x1
10,2026-06-14,group,E,Costa do Marfim,1x0,Equador,,,,,,,,,FINAL,1x0
11,2026-06-14,group,F,Holanda,2x2,Japão,,,,,,,,,FINAL,2x2
12,2026-06-14,group,F,Suécia,5x1,Tunísia,,,,,,,,,FINAL,5x1
13,2026-06-15,group,G,Bélgica,1x1,Egito,,,,,,,,,FINAL,1x1
14,2026-06-15,group,G,Irã,2x2,Nova Zelândia,,,,,,,,,FINAL,2x2
15,2026-06-15,group,H,Arábia Saudita,1x1,Uruguai,,,,,,,,,FINAL,1x1
16,2026-06-15,group,H,Espanha,0x0,Cabo Verde,,,,,,,,,FINAL,0x0
17,2026-06-16,group,J,Argentina,3x0,Argélia,,,,,,,,,FINAL,3x0
18,2026-06-16,group,J,Áustria,3x1,Jordânia,,,,,,,,,FINAL,3x1
19,2026-06-16,group,I,França,3x1,Senegal,,,,,,,,,FINAL,3x1
20,2026-06-16,group,I,Iraque,1x4,Noruega,,,,,,,,,FINAL,1x4
21,2026-06-17,group,L,Inglaterra,4x2,Croácia,,,,,,,,,FINAL,4x2
22,2026-06-17,group,L,Gana,1x0,Panamá,,,,,,,,,FINAL,1x0
23,2026-06-17,group,K,Portugal,1x1,RD Congo,,,,,,,,,FINAL,1x1
24,2026-06-17,group,K,Uzbequistão,1x3,Colômbia,,,,,,,,,FINAL,1x3
25,2026-06-18,group,B,Canadá,6x0,Catar,,,,,,,,,FINAL,6x0
26,2026-06-18,group,A,República Tcheca,1x1,África do Sul,,,,,,,,,FINAL,1x1
27,2026-06-18,group,A,México,1x0,Coreia do Sul,,,,,,,,,FINAL,1x0
28,2026-06-18,group,B,Suíça,4x1,Bósnia e Herzegovina,,,,,,,,,FINAL,4x1
29,2026-06-19,group,C,Brasil,3x0,Haiti,,,,,,,,,FINAL,3x0
30,2026-06-19,group,C,Escócia,0x1,Marrocos,,,,,,,,,FINAL,0x1
31,2026-06-19,group,D,Turquia,2x1,Paraguai,45%,28%,27%,,1x1,,,,PREVISTO,
32,2026-06-19,group,D,Estados Unidos,2x0,Austrália,,,,,,,,,FINAL,2x0
33,2026-06-20,group,E,Equador,2x0,Curaçao,85%,11%,4%,,2x0,,,,PREVISTO,
34,2026-06-20,group,E,Alemanha,1x0,Costa do Marfim,58%,23%,19%,,1x0,,,,PREVISTO,
35,2026-06-20,group,F,Holanda,2x1,Suécia,54%,23%,23%,,2x1,,,,PREVISTO,
36,2026-06-20,group,F,Tunísia,0x2,Japão,12%,20%,68%,,0x2,,,,PREVISTO,
37,2026-06-21,group,G,Bélgica,2x0,Irã,65%,21%,14%,,2x0,,,,PREVISTO,
38,2026-06-21,group,G,Nova Zelândia,0x1,Egito,18%,26%,56%,,0x1,,,,PREVISTO,
39,2026-06-21,group,H,Espanha,2x0,Arábia Saudita,83%,12%,5%,,2x0,,,,PREVISTO,
40,2026-06-21,group,H,Uruguai,1x0,Cabo Verde,59%,28%,13%,,1x0,,,,PREVISTO,
41,2026-06-22,group,J,Argentina,1x0,Áustria,63%,24%,13%,,1x0,,,,PREVISTO,
42,2026-06-22,group,I,França,3x0,Iraque,87%,9%,4%,,2x0,,,,PREVISTO,
43,2026-06-22,group,J,Jordânia,1x2,Argélia,17%,23%,60%,,1x1,,,,PREVISTO,
44,2026-06-22,group,I,Noruega,2x1,Senegal,47%,26%,27%,,1x1,,,,PREVISTO,
45,2026-06-23,group,K,Colômbia,1x0,RD Congo,60%,25%,15%,,1x0,,,,PREVISTO,
46,2026-06-23,group,L,Inglaterra,2x0,Gana,75%,17%,8%,,2x0,,,,PREVISTO,
47,2026-06-23,group,L,Panamá,0x2,Croácia,14%,22%,64%,,1x1,,,,PREVISTO,
48,2026-06-23,group,K,Portugal,2x0,Uzbequistão,78%,15%,7%,,2x0,,,,PREVISTO,
49,2026-06-24,group,B,Bósnia e Herzegovina,2x1,Catar,61%,22%,17%,,2x1,,,,PREVISTO,
50,2026-06-24,group,B,Suíça,1x1,Canadá,35%,30%,35%,⚡,1x1,,,,PREVISTO,
51,2026-06-24,group,A,República Tcheca,0x2,México,20%,25%,55%,,0x1,,,,PREVISTO,
52,2026-06-24,group,C,Marrocos,2x0,Haiti,76%,17%,7%,,1x0,,,,PREVISTO,
53,2026-06-24,group,C,Escócia,0x1,Brasil,14%,22%,64%,,0x1,,,,PREVISTO,
54,2026-06-24,group,A,África do Sul,0x1,Coreia do Sul,18%,26%,56%,,0x1,,,,PREVISTO,
55,2026-06-25,group,E,Curaçao,0x2,Costa do Marfim,4%,12%,84%,,0x2,,,,PREVISTO,
56,2026-06-25,group,E,Equador,0x1,Alemanha,20%,27%,53%,,0x1,,,,PREVISTO,
57,2026-06-25,group,F,Japão,2x1,Suécia,45%,26%,29%,,1x1,,,,PREVISTO,
58,2026-06-25,group,D,Paraguai,1x0,Austrália,35%,30%,35%,⚡,1x0,,,,PREVISTO,
59,2026-06-25,group,F,Tunísia,0x3,Holanda,9%,16%,75%,,0x2,,,,PREVISTO,
60,2026-06-25,group,D,Turquia,1x2,Estados Unidos,28%,23%,49%,,1x1,,,,PREVISTO,
61,2026-06-26,group,H,Cabo Verde,1x0,Arábia Saudita,34%,31%,35%,⚡,0x0,,,,PREVISTO,
62,2026-06-26,group,G,Egito,1x0,Irã,44%,30%,26%,,1x0,,,,PREVISTO,
63,2026-06-26,group,G,Nova Zelândia,0x2,Bélgica,9%,16%,75%,,0x2,,,,PREVISTO,
64,2026-06-26,group,I,Noruega,1x2,França,24%,25%,51%,,1x1,,,,PREVISTO,
65,2026-06-26,group,I,Senegal,2x0,Iraque,69%,20%,11%,,1x0,,,,PREVISTO,
66,2026-06-26,group,H,Uruguai,0x1,Espanha,16%,26%,58%,,0x1,,,,PREVISTO,
67,2026-06-27,group,J,Argélia,1x2,Áustria,28%,30%,42%,,1x1,,,,PREVISTO,
68,2026-06-27,group,K,Colômbia,1x2,Portugal,30%,27%,43%,,1x1,,,,PREVISTO,
69,2026-06-27,group,L,Croácia,2x0,Gana,57%,25%,18%,,1x0,,,,PREVISTO,
70,2026-06-27,group,K,RD Congo,1x0,Uzbequistão,43%,30%,27%,,1x0,,,,PREVISTO,
71,2026-06-27,group,J,Jordânia,0x3,Argentina,4%,11%,85%,,0x3,,,,PREVISTO,
72,2026-06-27,group,L,Panamá,0x2,Inglaterra,8%,14%,78%,,0x2,,,,PREVISTO,
73,2026-06-28,R32,,Coreia do Sul,0x1,Suíça,37%,,,,,Suíça,Suíça,Suíça,PREVISTO,
74,2026-06-29,R32,,Alemanha,2x0,Escócia,80%,,,,,Alemanha,Alemanha,Alemanha,PREVISTO,
75,2026-06-29,R32,,Holanda,0x1,Marrocos,41%,,,,,Marrocos,Marrocos,Marrocos,PREVISTO,
76,2026-06-29,R32,,Brasil,2x1,Japão,68%,,,,,Brasil,Brasil,Brasil,PREVISTO,
77,2026-06-30,R32,,França,2x1,Suécia,75%,,,,,França,França,França,PREVISTO,
78,2026-06-30,R32,,Costa do Marfim,0x1,Noruega,39%,,,,,Noruega,Noruega,Noruega,PREVISTO,
79,2026-06-30,R32,,México,0x0,Equador,61%,,,,,México,México,México,PREVISTO,
80,2026-07-01,R32,,Inglaterra,1x0,RD Congo,82%,,,,,Inglaterra,Inglaterra,Inglaterra,PREVISTO,
81,2026-07-01,R32,,Estados Unidos,2x0,Bósnia e Herzegovina,85%,,,,,Estados Unidos,Estados Unidos,Estados Unidos,PREVISTO,
82,2026-07-01,R32,,Bélgica,2x1,Senegal,71%,,,,,Bélgica,Bélgica,Bélgica,PREVISTO,
83,2026-07-02,R32,,Portugal,2x1,Croácia,72%,,,,,Portugal,Portugal,Portugal,PREVISTO,
84,2026-07-02,R32,,Espanha,1x0,Áustria,77%,,,,,Espanha,Espanha,Espanha,PREVISTO,
85,2026-07-02,R32,,Canadá,2x1,Argélia,66%,,,,,Canadá,Canadá,Canadá,PREVISTO,
86,2026-07-03,R32,,Argentina,1x0,Uruguai,85%,,,,,Argentina,Argentina,Argentina,PREVISTO,
87,2026-07-03,R32,,Colômbia,2x0,Gana,86%,,,,,Colômbia,Colômbia,Colômbia,PREVISTO,
88,2026-07-03,R32,,Austrália,1x0,Egito,58%,,,,,Austrália,Austrália,Austrália,PREVISTO,
89,2026-07-04,R16,,Suíça,0x1,Marrocos,32%,,,,,Marrocos,Marrocos,Marrocos,PREVISTO,
90,2026-07-04,R16,,Alemanha,1x2,França,44%,,,,,Vai aos pênaltis,França,França,PREVISTO,
91,2026-07-05,R16,,Brasil,2x1,Noruega,68%,,,,,Brasil,Brasil,Brasil,PREVISTO,
